sample_id,forecast_date,forecast_year,monsoon_month,region,latitude,longitude,elevation_m,lead_time_hours,regime,nwp_rainfall_mm,nwp_temperature_c,relative_humidity,specific_humidity,wind_speed_ms,surface_pressure_hpa,vertical_velocity_pa_s,sea_surface_temperature_c,sst_anomaly_c,mjo_phase,enso_index,iod_index,orographic_factor,coastal_distance_km,forecast_error_mm,observed_rainfall_mm,heavy_rainfall
1,2017-06-18,2017,6,peninsular_india,16.626883649218094,76.32347161343472,1147.0515542500098,89,active_monsoon,5.762728877874615,21.72444222568741,72.76140137457634,12.896019528162837,7.737933443100763,1016.1979904184033,0.025041925933481847,26.795173685716897,0.4918741388147567,1,0.2893517237517916,0.2007216414806962,0.180609356618686,455.84483280780256,7.696036870740409,13.458765748615024,False
2,2024-06-04,2024,6,himalayan,34.51745318221433,79.60672138821903,1341.7183818171768,60,break_monsoon,1.8105262204759225,21.128717750476024,66.07870864057729,14.896603528452781,14.21617658826552,991.575944420483,-0.0983531983327578,26.488754724463085,-0.06295443711729361,8,-0.6258190305843964,-0.9333865635435477,0.48008889771046886,173.17376696583958,5.2679953776582575,7.07852159813418,False
3,2021-09-16,2021,9,east_coast,19.239335483329018,81.26114717847398,121.30573681466754,82,coastal_orographic,4.624336778011743,29.154234503484535,53.57477985196135,15.385842414183326,1.4184354572179263,1025.5412014458857,-0.025653318767691075,29.25174392498851,0.31199323365043646,3,0.036941737424390705,-2.0778113850930406,0.40774594361947797,63.42506769557127,12.368342708154247,16.99267948616599,False
4,2010-07-21,2010,7,central_india,17.506769118092517,82.90308282015856,490.23850793448406,84,active_monsoon,6.992548663705195,26.13449403319938,78.53256715547987,13.263999366983818,7.907765064255089,1019.1159964963553,0.15202422431156,30.430257381003077,0.9087984791935961,2,-0.5347178030922413,0.26891347578220537,0.28888117965433163,401.53130159925354,8.262515331601872,15.255063995307067,False
5,2025-08-23,2025,8,peninsular_india,17.447948287316144,78.9040559344068,755.3453353352774,60,break_monsoon,4.368663403376949,26.735850126257745,83.14663956979771,20.31674395267301,4.268289039898164,997.379209448877,-0.21790195448131042,27.705575140088275,0.23740961253356477,2,0.6354233797207635,0.7404343276518911,0.29106071352110685,5.5480294216396775,17.368783609567885,21.737447012944834,False
6,2023-07-16,2023,7,west_coast,9.445003062631482,76.99775984466297,203.99193328519442,86,monsoon_low_depression,3.071880321618509,20.031007788333618,53.907734552238814,13.865768005829032,5.057226977690016,1030.2008143533408,-0.07544325138420349,29.994089127860722,-0.46675184654970847,4,-1.0813995377545238,-0.3216922599773924,0.11471138603670683,64.40015091845953,4.439908561802093,7.511788883420602,False
7,2025-08-29,2025,8,north_india,27.146312227878468,72.50382969224523,324.54321288740385,39,coastal_orographic,4.418138796326612,31.079770204262022,99.75766604964268,11.604679965752162,4.9801487348150415,984.342740954433,0.18712521337079863,28.94950989202323,0.0768229478570557,4,1.3241729077727287,0.627760010107111,0.3008709932698745,92.16763192274256,8.828937501612597,13.24707629793921,False
8,2022-09-09,2022,9,central_india,18.872281830104818,77.20055526610231,1192.897789799535,28,active_monsoon,2.5972454519414643,28.27720986822059,76.99477919042201,6.627401503762327,2.860157704563078,1003.9741737726616,0.2997755419364663,28.249012922904928,0.1650277868311476,4,-0.6055404888306337,1.5818568101627344,0.34553458344335514,661.9018491823101,9.18923497610946,11.786480428050925,False
9,2018-07-27,2018,7,west_coast,21.981193613462413,77.64366474922132,102.20914886553021,54,monsoon_low_depression,17.130346187002544,31.393343660091368,61.87680328591115,21.31776507409079,0.8182154328917652,1003.1609207203397,-0.3358135163757845,29.42898223483795,1.1389267838506334,7,-0.7205467493437486,0.4041818296070431,0.44504593416804816,94.25759843423351,32.44553108921579,49.575877276218336,False
10,2015-08-22,2015,8,himalayan,34.63091156299904,77.27170563646666,1228.7858102283053,83,coastal_orographic,1.6078448405093997,22.174984297839316,75.2933797904124,14.526908602178782,4.897876511897603,1010.9591383213096,-0.007851043133082696,27.952163159424938,-0.7928796819769175,6,-0.9878857182795064,0.3125935346766564,0.5830308595680499,286.58654569266025,8.908835128975003,10.516679969484402,False
11,2014-06-29,2014,6,north_india,26.68982015465834,75.72236302154005,238.78741637912657,36,active_monsoon,3.27028643272364,29.03178769934497,70.88505646871913,20.731625498010843,2.644592913642483,992.5053529942713,-0.15823286644688467,27.96441711652627,1.5327399356119171,7,0.905733102607661,0.5065810665757053,0.030346703691665672,255.10588973202078,7.249782860007059,10.5200692927307,False
12,2010-08-21,2010,8,central_india,20.957026138928033,80.74096180876727,324.883227588654,68,active_monsoon,14.460330527929361,26.063161316313725,91.12600557644316,20.0813819396313,11.160965620106351,1000.8255642768423,-0.20195563229165642,29.8099258028206,1.1248373408504984,6,0.2082298286655461,-0.49024502268530945,0.24335614908779638,457.6334878935461,19.874048346973325,34.33437887490268,False
13,2019-08-06,2019,8,northeast_india,25.32843377693509,92.78622092838793,741.8555295926009,65,active_monsoon,9.614679974782602,28.881002402537227,74.67691572193976,20.482643149067027,4.110907411678353,990.8353627261577,-0.09290203530828514,26.330159537484914,0.3967873794349837,1,-1.0889518611901745,-0.7233258644269636,0.2391619432738313,360.7210271388081,8.883001074785174,18.497681049567774,False
14,2015-08-09,2015,8,west_coast,15.931279665477037,73.88406401922956,415.6862690168241,104,coastal_orographic,3.7526314004620676,31.826972795978428,83.4721690638041,11.592487940426018,2.061501028096014,1020.5141804476151,0.051188808430245786,27.665726084274745,0.49177237344929536,2,-0.056729555002233305,-0.3963877024754191,0.5830956389209747,142.911847493754,14.576272043945703,18.32890344440777,False
